src,tgt,method,dim,seed,acc,f1,auc,acc_src,f1_src,auc_src,delta_acc,delta_f1,delta_auc
IMDB-MULTI,IMDB-MULTI,graph2vec,16,1,0.7186666666666667,0.7165771061353642,0.8954306666666666,0.7186666666666667,0.7165771061353642,0.8954306666666666,0.0,0.0,0.0
MUTAG,MUTAG,netlsd,16,1,0.9680851063829787,0.9635988124435265,0.9977777777777778,0.9680851063829787,0.9635988124435265,0.9977777777777778,0.0,0.0,0.0
MUTAG,ENZYMES,netlsd,16,1,0.13,0.06181181181181181,0.403435,0.9680851063829787,0.9635988124435265,0.9977777777777778,0.8380851063829787,0.9017870006317147,0.5943427777777778
MUTAG,IMDB-MULTI,netlsd,16,1,0.29,0.22741182161858853,0.460509,0.9680851063829787,0.9635988124435265,0.9977777777777778,0.6780851063829787,0.736186990824938,0.5372687777777778
ENZYMES,MUTAG,netlsd,16,1,0.39361702127659576,0.18320582877959926,0.40285714285714286,0.9166666666666666,0.9165277918371287,0.99391,0.5230496453900708,0.7333219630575295,0.591052857142857
ENZYMES,ENZYMES,netlsd,16,1,0.9166666666666666,0.9165277918371287,0.99391,0.9166666666666666,0.9165277918371287,0.99391,0.0,0.0,0.0
ENZYMES,IMDB-MULTI,netlsd,16,1,0.32,0.14146882700067337,,0.9166666666666666,0.9165277918371287,0.99391,0.5966666666666667,0.7750589648364554,
IMDB-MULTI,MUTAG,netlsd,16,1,0.39361702127659576,0.2839350220508388,0.5711746031746031,0.6186666666666667,0.6133721774589019,0.8108243333333333,0.22504964539007094,0.3294371554080631,0.23964973015873015
IMDB-MULTI,ENZYMES,netlsd,16,1,0.135,0.07856980056980058,0.4624866666666667,0.6186666666666667,0.6133721774589019,0.8108243333333333,0.4836666666666667,0.5348023768891014,0.34833766666666655
IMDB-MULTI,IMDB-MULTI,netlsd,16,1,0.6186666666666667,0.6133721774589019,0.8108243333333333,0.6186666666666667,0.6133721774589019,0.8108243333333333,0.0,0.0,0.0
MUTAG,MUTAG,gin,16,1,0.8563829787234043,0.8439834024896266,0.9434920634920635,0.8563829787234043,0.8439834024896266,0.9434920634920635,0.0,0.0,0.0
MUTAG,ENZYMES,gin,16,1,0.14,0.07200256747487588,0.43818999999999997,0.8563829787234043,0.8439834024896266,0.9434920634920635,0.7163829787234043,0.7719808350147507,0.5053020634920635
